"Group.1","YEAR","MONTH","DAY","DAY_OF_WEEK","AIRLINE","FLIGHT_NUMBER","TAIL_NUMBER","ORIGIN_AIRPORT","DESTINATION_AIRPORT","SCHEDULED_DEPARTURE","DEPARTURE_TIME","DEPARTURE_DELAY","TAXI_OUT","WHEELS_OFF","SCHEDULED_TIME","ELAPSED_TIME","AIR_TIME","DISTANCE","WHEELS_ON","TAXI_IN","SCHEDULED_ARRIVAL","ARRIVAL_TIME","ARRIVAL_DELAY","DIVERTED","CANCELLED","CANCELLATION_REASON","AIR_SYSTEM_DELAY","SECURITY_DELAY","AIRLINE_DELAY","LATE_AIRCRAFT_DELAY","WEATHER_DELAY","DURATION"
"AA",2015,7.30467200379072,15.7275546017543,3.95601693701239,NA,1281.65155430423,NA,NA,NA,1312.53352139992,1298.42553830387,8.7735198020893,17.5034339599771,1319.42954803412,171.704763465861,163.44177282144,137.293299852338,1041.33922235201,1464.11411133028,8.74010446511218,1512.05776849077,1469.27744275356,3.38933640410808,0.00293394895755278,0.0150402763697272,NA,2.42506859655309,0.0222566888526468,3.79346376779653,3.90270584475691,0.643843390487945,170.851904449685
"AS",2015,6.60674932327079,15.734119324604,3.99067359915604,NA,426.907362002307,NA,NA,NA,1334.8659641435,1324.26759640855,1.7794761217475,15.0379432069139,1338.83210739562,181.865940957912,178.215023098637,156.854829267162,1197.41808243634,1484.17851160149,6.370905570916,1516.48092116322,1484.6104300346,-0.970438381414437,0.00239391146585053,0.0038777887909298,NA,1.74748581332128,0.0337640055413544,2.013812811194,2.21084389726468,0.225085641747961,160.342833626051
"B6",2015,6.56087669632426,15.7487380545819,3.98624966298194,NA,911.451098678889,NA,NA,NA,1363.31027380845,1330.21007833798,11.3330449956562,17.5869469159102,1339.54098888589,172.559966747551,164.692602079027,141.161764926156,1062.17517824511,1415.09397187023,6.021408136365,1472.20438273269,1414.84369851113,6.55267966807465,0.00273359096492016,0.0160121026931488,NA,3.71266963242563,0.0427526137623199,4.02195859920314,5.30801953206914,0.433517569875079,84.6336201731524
"DL",2015,6.6150515880582,15.7085779917592,3.90831402896056,NA,1616.30292357067,NA,NA,NA,1331.82261745602,1329.15574490142,7.33809044836,17.5319501165113,1354.52961075763,147.633377136848,139.572886042739,114.92504689564,853.621825339287,1482.64199360415,7.17667011842933,1511.75577047567,1488.50040245193,0.185558312145149,0.00203452295460228,0.00436588988686819,NA,2.03153510579633,0.00446407674101847,3.09125212214901,2.438833585841,0.688336657605314,159.344657550512
"EV",2015,6.34741257078519,15.6605003348037,3.89315654300785,NA,4706.70334121827,NA,NA,NA,1322.05949190265,1295.52647046997,8.49219111957299,16.2947985670753,1321.17900195288,99.3054615832455,94.1993646597678,70.5725702257259,462.251739143357,1425.45402874591,7.42790182122708,1482.23012813452,1435.21524117228,6.38706101818779,0.00348615416354154,0.026628693111786,NA,2.95098229474262,0,4.13298611657462,4.59629670423811,0.29601365089855,139.688770702318
"F9",2015,6.74075256506231,15.7304262627152,3.97237879254921,NA,820.153628517328,NA,NA,NA,1387.03492007574,1369.54764630763,13.2706085692897,15.5727354793254,1369.00683649654,155.888546391299,153.783257739222,129.170956448985,967.214859747237,1461.44011184993,9.08632040160289,1511.00826764719,1462.4058633141,12.4020102162138,0.00173939847637501,0.00647320445638293,NA,6.39871856973006,0,3.81952089479942,6.98004095292615,0.237967325729887,92.8582170064732
"HA",2015,6.5112229913992,15.7202380952381,4.01350430039857,NA,217.476793580868,NA,NA,NA,1304.99765313614,1299.70200073421,0.484738829452486,10.9295678623872,1318.34405810782,101.189938640655,102.361312146004,84.6242395636669,632.591842353682,1414.72030365009,6.82513897629536,1431.42332704007,1423.65316236627,2.01696559681141,0.00078665827564506,0.00224197608558842,NA,0.081825571638347,0.00525749947556115,2.57528319697923,1.66114694776589,0.149845290539123,123.951161632054
"MQ",2015,6.11203806782698,15.6164639278829,3.92223519509082,NA,3313.16577289636,NA,NA,NA,1325.66875967308,1270.31043131771,9.63204268375464,15.7121731515925,1292.75094694398,96.0695817154959,87.6151911537104,63.378444975427,422.31540701621,1379.28675432404,8.61541855602922,1468.3902325613,1389.85023011757,6.11066347172065,0.00276955659941894,0.0509958185125852,NA,3.15910695375927,0.0239247603790491,3.58085000950338,4.80963710662793,1.36544910260936,119.539798799859
"NK",2015,6.71071486381721,15.7888634253146,4.01378440777311,NA,541.483732183781,NA,NA,NA,1361.20882781417,1340.24598948705,15.6832738394432,14.3563073462885,1353.53453343443,157.872106594876,153.58896395437,129.883113674507,985.267117627514,1412.74357423389,9.39079392395573,1478.24943132928,1407.91683350514,14.2022849061587,0.00155053288918801,0.0170729006040263,NA,8.02036991284642,0.0438494108826962,4.01362253895501,5.97396467852001,0.375603813288578,67.6708440180952
"OO",2015,6.51484737903945,15.6990123276332,3.94279964579088,NA,5149.14409716616,NA,NA,NA,1332.21163825119,1318.65724148598,7.67823058605973,17.8478260500074,1346.05069405612,102.520542939358,98.7491098031284,74.1712356357493,496.772163989986,1442.5374987465,6.81058650164102,1479.88007709657,1449.94575365469,5.73100502589432,0.0026837629790279,0.0169286125846218,NA,2.26729871352742,0.0168198343511463,3.47360003263347,4.87578715499029,0.425467363980467,131.288512168715
"UA",2015,6.63074169660845,15.7059351628684,3.8913311991127,NA,1061.44193297565,NA,NA,NA,1316.4348167524,1308.96242944371,14.2622066496937,17.1935438210047,1328.03987993555,199.655051258137,187.801352664124,162.291383164994,1271.5456844081,1439.33292290629,8.39579386608703,1483.90918186701,1443.64861951086,5.34774869455114,0.00269136726498527,0.012745214000539,NA,2.92864968209678,0.00253042815620013,4.2936091661609,5.28340213641819,0.630268574409131,134.686190067148
"US",2015,3.53235538333795,15.611594494628,3.94324535138263,NA,1323.68627431246,NA,NA,NA,1329.78592456533,1305.57370606144,6.0209194071912,18.6203406889264,1329.64797826032,154.402395390383,148.957361044712,122.931077170823,911.503862315376,1443.62228316936,7.47339657298141,1496.49448707949,1447.45871222605,3.62242910701255,0.00213874141358227,0.0204664972447978,NA,3.02927811186876,0.0310142666633118,3.20218403240822,2.63221196185492,0.355066300983821,141.885006164608
"VX",2015,6.71316414390256,15.7667641309791,3.91386524077993,NA,574.940649080012,NA,NA,NA,1349.71356800155,1345.05683084826,8.94709464807845,14.6285640437459,1364.36592733793,210.068898114792,203.383406296948,180.69836679967,1405.98932200378,1531.94869392437,8.11576175629614,1574.01022567565,1538.04645978386,4.68757572330905,0.00195467101755973,0.00862639936675121,NA,3.87393179652036,0.0294977626286287,2.11152932814242,4.12757055393115,0.569665444324185,192.989628935593
"WN",2015,6.55944541964013,15.718810005904,3.90694255679139,NA,1809.80497600754,NA,NA,NA,1331.92849019895,1326.91990363394,10.450107183472,11.7926465402126,1345.44402803809,127.2517087938,119.333000225858,101.511149854777,740.711334503568,1450.2938095106,6.08553756176423,1493.66863070638,1452.87133703952,4.30752186265458,0.00270157823204726,0.0127138221110983,NA,1.32281284299702,0.00942105075464298,3.03630052581319,5.00339420931882,0.432196250757813,125.951433405581
